Date: 2022-07-14 21:53:48s, Time_Cost: 103s, Epoch: [153/300], Train_PSNR: 32.04, Val_PSNR: 26.13, Val_SSIM: 0.9403
Date: 2022-07-14 21:55:31s, Time_Cost: 103s, Epoch: [154/300], Train_PSNR: 32.35, Val_PSNR: 25.94, Val_SSIM: 0.9402
Date: 2022-07-14 21:57:14s, Time_Cost: 103s, Epoch: [155/300], Train_PSNR: 32.48, Val_PSNR: 25.32, Val_SSIM: 0.9387
Date: 2022-07-14 21:58:57s, Time_Cost: 103s, Epoch: [156/300], Train_PSNR: 32.50, Val_PSNR: 25.66, Val_SSIM: 0.9387
Date: 2022-07-14 22:00:40s, Time_Cost: 103s, Epoch: [157/300], Train_PSNR: 32.53, Val_PSNR: 25.30, Val_SSIM: 0.9391
Date: 2022-07-14 22:02:22s, Time_Cost: 103s, Epoch: [158/300], Train_PSNR: 32.53, Val_PSNR: 25.77, Val_SSIM: 0.9388
Date: 2022-07-14 22:04:05s, Time_Cost: 103s, Epoch: [159/300], Train_PSNR: 32.55, Val_PSNR: 25.86, Val_SSIM: 0.9389
Date: 2022-07-14 22:05:49s, Time_Cost: 103s, Epoch: [160/300], Train_PSNR: 32.54, Val_PSNR: 25.42, Val_SSIM: 0.9370
Date: 2022-07-14 22:07:31s, Time_Cost: 103s, Epoch: [161/300], Train_PSNR: 32.53, Val_PSNR: 25.82, Val_SSIM: 0.9395
Date: 2022-07-14 22:09:14s, Time_Cost: 103s, Epoch: [162/300], Train_PSNR: 32.51, Val_PSNR: 25.76, Val_SSIM: 0.9390
Date: 2022-07-14 22:10:57s, Time_Cost: 103s, Epoch: [163/300], Train_PSNR: 32.53, Val_PSNR: 25.76, Val_SSIM: 0.9392
Date: 2022-07-14 22:12:40s, Time_Cost: 103s, Epoch: [164/300], Train_PSNR: 32.54, Val_PSNR: 25.51, Val_SSIM: 0.9384
Date: 2022-07-14 22:14:22s, Time_Cost: 103s, Epoch: [165/300], Train_PSNR: 32.51, Val_PSNR: 25.63, Val_SSIM: 0.9392
Date: 2022-07-14 22:16:05s, Time_Cost: 103s, Epoch: [166/300], Train_PSNR: 32.47, Val_PSNR: 25.88, Val_SSIM: 0.9394
Date: 2022-07-14 22:17:48s, Time_Cost: 103s, Epoch: [167/300], Train_PSNR: 32.52, Val_PSNR: 25.41, Val_SSIM: 0.9395
Date: 2022-07-14 22:19:30s, Time_Cost: 103s, Epoch: [168/300], Train_PSNR: 32.57, Val_PSNR: 25.51, Val_SSIM: 0.9388
Date: 2022-07-14 22:21:13s, Time_Cost: 103s, Epoch: [169/300], Train_PSNR: 32.62, Val_PSNR: 25.66, Val_SSIM: 0.9397
Date: 2022-07-14 22:22:56s, Time_Cost: 103s, Epoch: [170/300], Train_PSNR: 32.57, Val_PSNR: 25.51, Val_SSIM: 0.9401
Date: 2022-07-14 22:24:39s, Time_Cost: 103s, Epoch: [171/300], Train_PSNR: 32.57, Val_PSNR: 25.64, Val_SSIM: 0.9389
Date: 2022-07-14 22:26:21s, Time_Cost: 103s, Epoch: [172/300], Train_PSNR: 32.60, Val_PSNR: 25.45, Val_SSIM: 0.9375
Date: 2022-07-14 22:28:05s, Time_Cost: 103s, Epoch: [173/300], Train_PSNR: 31.18, Val_PSNR: 25.82, Val_SSIM: 0.9377
Date: 2022-07-14 22:29:48s, Time_Cost: 103s, Epoch: [174/300], Train_PSNR: 32.46, Val_PSNR: 25.50, Val_SSIM: 0.9369
Date: 2022-07-14 22:31:31s, Time_Cost: 103s, Epoch: [175/300], Train_PSNR: 32.65, Val_PSNR: 25.39, Val_SSIM: 0.9363
Date: 2022-07-14 22:33:13s, Time_Cost: 103s, Epoch: [176/300], Train_PSNR: 32.62, Val_PSNR: 25.27, Val_SSIM: 0.9364
Date: 2022-07-14 22:34:56s, Time_Cost: 103s, Epoch: [177/300], Train_PSNR: 32.69, Val_PSNR: 25.80, Val_SSIM: 0.9369
